title,price,rating,reviews,product_url,page_number,scraped_at
"realme narzo 100 Lite 5G (Frost Silver,4GB+64GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling","15,499",4.0 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfYXRmOjMwMTE3NzI3ODQxNzgzMjo6MDo6&url=%2Frealme-7000mAh-Battery-Display-Octa-core%2Fdp%2FB0GTRXVQ8N%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-1-spons%26aref%3DswRID01xcX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=swRID01xcX&sp_cr=ZAZ,1,2026-08-04 00:48:44.892339
OnePlus N6 | 6GB+128GB | Midnight Green | Segment's Biggest 8000mAh Battery | Segment's Fastest 45W Charging | 60-Month Smoothness | Smooth 120Hz Display | 50MP Camera | Military-Grade Durability,"24,999",3.7 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfYXRmOjMwMTE4MjM1MDgyMTEzMjo6MDo6&url=%2FOnePlus-Midnight-Smoothness-Military-Grade-Durability%2Fdp%2FB0H3LKPC2K%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-2-spons%26aref%3DItCwAODIKi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ItCwAODIKi&sp_cr=ZAZ,1,2026-08-04 00:48:44.899267
"OnePlus Nord CE6 Lite | 8GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording","27,999",4.4 out of 5 stars,,https://www.amazon.in/OnePlus-Segments-Dimensity-Processor-Recording/dp/B0GVYXPZBS/ref=sr_1_3?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-3,1,2026-08-04 00:48:44.903399
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger","11,999",4.1 out of 5 stars,,https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-4,1,2026-08-04 00:48:44.906708
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording","25,999",4.2 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfbXRmOjMwMTA4Njc5OTAxNjkzMjo6MDo6&url=%2FOnePlus-Nord-Hyper-Black-128GB%2Fdp%2FB0GVYDLJJQ%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-5-spons%26aref%3DJyVPIbD0uY%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=JyVPIbD0uY&sp_cr=ZAZ,1,2026-08-04 00:48:44.910847
"OnePlus Nord CE6 | 8GB+128GB | Pitch Black | Snapdragon 7s Gen 4 | Segment's Fastest Touch Response | 8000mAh Battery | 144Hz 1.5K AMOLED Display | 50MP Main + 32MP Selfie 4K Cameras | IP66,68,69,69K","35,999",4.3 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfbXRmOjMwMTA4MDgyMzc1MDczMjo6MDo6&url=%2FOnePlus-Snapdragon-Segments-Fastest-Response%2Fdp%2FB0GWLHVJRH%2Fref%3Dsr_1_6_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-6-spons%26aref%3DVsoL3wyW8C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=VsoL3wyW8C&sp_cr=ZAZ,1,2026-08-04 00:48:44.915998
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display","15,499",3.3 out of 5 stars,,https://www.amazon.in/REDMI-A7-Pro-5G-Processor/dp/B0GS5M4VMH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-7,1,2026-08-04 00:48:44.920866
"realme NARZO 80 Lite 4G (Obsidian Black 2026, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist","12,999",4.1 out of 5 stars,,https://www.amazon.in/realme-Obsidian-6300mAh-Segments-Biggest/dp/B0H1BMBX9R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-8,1,2026-08-04 00:48:44.925579
"realme NARZO 100x 5G (Flash Orange,6GB+128GB) | Biggest 8000mAh Battery | 45W Fast Charge | 144Hz, 1200nits Bright Display | 7 Years Battery Health | Military-Grade Resistance | 48-Month Fluency","22,499",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfbXRmOjMwMTIxNTI2ODgyMjczMjo6MDo6&url=%2Frealme-1200nits-Military-Grade-Resistance-48-Month%2Fdp%2FB0H339SP81%2Fref%3Dsr_1_9_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-9-spons%26aref%3DFU1v5ZrgfV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=FU1v5ZrgfV&sp_cr=ZAZ,1,2026-08-04 00:48:44.930577
OnePlus Nord 6 | 8GB+256GB | Quick Silver | Snapdragon 8s Gen 4 | Segment's First Stable 165FPS Gaming | Segment's Largest 9000mAh Battery | Most Complete IP Rating | Personalized AI,"44,999",4.3 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgyODQwODA5Mjk1ODMxOjE3ODU3ODQ3MDg6c3BfbXRmOjMwMTAyNzE3MTMyNDczMjo6MDo6&url=%2FOnePlus-Snapdragon-Segments-Complete-Personalized%2Fdp%2FB0GRB5C1HW%2Fref%3Dsr_1_10_sspa%3Fdib%3DeyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1785784708%26sr%3D8-10-spons%26aref%3DwhMP9nbcIj%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=whMP9nbcIj&sp_cr=ZAZ,1,2026-08-04 00:48:44.934453
"Samsung Galaxy M17 5G Mobile (Sapphire Black, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger","17,999",3.8 out of 5 stars,,https://www.amazon.in/Samsung-Sapphire-Storage-Upgrades-Lag-Free/dp/B0FN7RN9TH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-11,1,2026-08-04 00:48:44.937222
OnePlus N6 | 4GB+128GB | Fresh Mint | Segment's Biggest 8000mAh Battery | Segment's Fastest 45W Charging | 48-Month Smoothness | Smooth 120Hz Display | 50MP Camera | Military-Grade Durability,"22,999",3.4 out of 5 stars,,https://www.amazon.in/OnePlus-Segments-Charging-Military-Grade-Durability/dp/B0H3LBSGF8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-12,1,2026-08-04 00:48:44.941133
"iQOO Z10 Lite 5G (Titanium Blue 2026, 4GB RAM, 128GB Storage) | Dimensity 6300 5G Processor | 50MP Sony AI Camera | 6000 mAh Battery | IP64 Rated & Military Grade Shock-Resistance*","18,999",4.1 out of 5 stars,,https://www.amazon.in/iQOO-Titanium-Dimensity-Processor-Shock-Resistance/dp/B0H1JD62J1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-13,1,2026-08-04 00:48:44.946158
